laureate_id,prize_name,prize_country,prize_founding_year,year,session,author,author_country,author_continent,book_title,publisher,notes,attribution_type,decade
L0614,Akutagawa Prize,Japan,1935,1987,H2,Natsuki Ikezawa,Japan,Asia,"Still Life (スティル・ライフ, Sutiru Raifu)",Chūōkōron,Co-laureate,Co-laureate,1980
L0616,Akutagawa Prize,Japan,1935,1988,H1,Man Arai,Japan,Asia,Tazunebito no Jikan (尋ね人の時間),Bungakukai,,Standard,1980
L0618,Akutagawa Prize,Japan,1935,1988,H2,Lee Yangji,Japan,Asia,Yuhi (由煕),Gunzō,Co-laureate,Co-laureate,1980
L0617,Akutagawa Prize,Japan,1935,1988,H2,Keishi Nagi,Japan,Asia,Daiyamondo Dasuto (ダイヤモンドダスト),Bungakukai,Co-laureate,Co-laureate,1980
L0619,Akutagawa Prize,Japan,1935,1989,H1,,,,,,No prize awarded,No prize,1980
L0620,Akutagawa Prize,Japan,1935,1989,H2,Akira Ōoka,Japan,Asia,Hyōsō Seikatsu (表層生活),Bungakukai,Co-laureate,Co-laureate,1980
L0621,Akutagawa Prize,Japan,1935,1989,H2,Mieko Takizawa,Japan,Asia,Nekobaba no Iru Machi de (ネコババのいる町で),Bungakukai,Co-laureate,Co-laureate,1980
L0622,Akutagawa Prize,Japan,1935,1990,H1,Noboru Tsujihara,Japan,Asia,Mura no Namae (村の名前),Bungakukai,,Standard,1990
L0623,Akutagawa Prize,Japan,1935,1990,H2,Yōko Ogawa,Japan,Asia,"Pregnancy Diary (妊娠カレンダー, Ninshin Karendā)",Bungakukai,,Standard,1990
L0624,Akutagawa Prize,Japan,1935,1991,H1,Yō Henmi,Japan,Asia,Jidō Kishō Sōchi (自動起床装置),Bungakukai,Co-laureate,Co-laureate,1990
L0625,Akutagawa Prize,Japan,1935,1991,H1,Anna Ogino,Japan,Asia,Seoimizu (背負い水),Bungakukai,Co-laureate,Co-laureate,1990
L0626,Akutagawa Prize,Japan,1935,1991,H2,Eiko Matsumura,Japan,Asia,Shikō Seisho Apatōn (至高聖所 アバトーン),Kaien [ja],,Standard,1990
L0627,Akutagawa Prize,Japan,1935,1992,H1,Tomomi Fujiwara,Japan,Asia,Untenshi (運転士),Gunzō,,Standard,1990
L0628,Akutagawa Prize,Japan,1935,1992,H2,Yōko Tawada,Japan,Asia,"The Bridegroom was a Dog (犬婿入り, Inu mukoiri)",Gunzō,,Standard,1990
L0629,Akutagawa Prize,Japan,1935,1993,H1,Haruhiko Yoshimeki,Japan,Asia,Sekiryō Kōya (寂寥郊野),Gunzō,,Standard,1990
L0630,Akutagawa Prize,Japan,1935,1993,H2,Hikaru Okuizumi,Japan,Asia,"The Stones Cry Out (石の来歴, Ishi no Raireki)",Bungakukai,,Standard,1990
L0632,Akutagawa Prize,Japan,1935,1994,H1,Yoriko Shōno,Japan,Asia,Taimu Surippu Konbināto (タイムスリップ・コンビナート),Bungakukai,Co-laureate,Co-laureate,1990
L0631,Akutagawa Prize,Japan,1935,1994,H1,Mitsuhiro Muroi,Japan,Asia,Odorudeku (おどるでく),Gunzō,Co-laureate,Co-laureate,1990
L0633,Akutagawa Prize,Japan,1935,1994,H2,,,,,,No prize awarded,No prize,1990
L0634,Akutagawa Prize,Japan,1935,1995,H1,Kazushi Hosaka,Japan,Asia,Kono Hito no Iki (この人の閾),Shinchō,,Standard,1990
L0635,Akutagawa Prize,Japan,1935,1995,H2,Eiki Matayoshi,Japan,Asia,Buta no Mukui (豚の報い),Bungakukai,,Standard,1990
L0636,Akutagawa Prize,Japan,1935,1996,H1,Hiromi Kawakami,Japan,Asia,"Record of a Night Too Brief (蛇を踏む, Hebi o Fumu)",Bungakukai,,Standard,1990
L0638,Akutagawa Prize,Japan,1935,1996,H2,Yū Miri,Japan,Asia,Kazoku Shinema (家族シネマ),Gunzō,Co-laureate,Co-laureate,1990
L0637,Akutagawa Prize,Japan,1935,1996,H2,Hitonari Tsuji,Japan,Asia,Kaikyō no Hikari (海峡の光),Shinchō,Co-laureate,Co-laureate,1990
L0639,Akutagawa Prize,Japan,1935,1997,H1,Shun Medoruma,Japan,Asia,"Droplets (水滴, Suiteki)",Bungakukai,,Standard,1990
L0640,Akutagawa Prize,Japan,1935,1997,H2,,,,,,No prize awarded,No prize,1990
L0642,Akutagawa Prize,Japan,1935,1998,H1,Shū Fujisawa,Japan,Asia,Buenosu Airesu Gozen Reiji (ブエノスアイレス午前零時),Bungei,Co-laureate,Co-laureate,1990
L0641,Akutagawa Prize,Japan,1935,1998,H1,Mangetsu Hanamura,Japan,Asia,Gerumaniamu no Yoru (ゲルマニウムの夜),Bungakukai,Co-laureate,Co-laureate,1990
L0643,Akutagawa Prize,Japan,1935,1998,H2,Keiichirō Hirano,Japan,Asia,"Eclipse (日蝕, Nisshoku)",Shinchō,,Standard,1990
L0644,Akutagawa Prize,Japan,1935,1999,H1,,,,,,No prize awarded,No prize,1990
L0646,Akutagawa Prize,Japan,1935,1999,H2,Chiya Fujino,Japan,Asia,Natsu no Yakusoku (夏の約束),Gunzō,Co-laureate,Co-laureate,1990
L0645,Akutagawa Prize,Japan,1935,1999,H2,Gen Getsu,Japan,Asia,Kage no Sumika (蔭の棲みか),Bungakukai,Co-laureate,Co-laureate,1990
L0647,Akutagawa Prize,Japan,1935,2000,H1,Kō Machida,Japan,Asia,"Rip It Up (きれぎれ, Kiregire)",Bungakukai,Co-laureate,Co-laureate,2000
L0648,Akutagawa Prize,Japan,1935,2000,H1,Hisaki Matsuura,Japan,Asia,Hana Kutashi (花腐し),Gunzō,Co-laureate,Co-laureate,2000
L0650,Akutagawa Prize,Japan,1935,2000,H2,Toshiyuki Horie,Japan,Asia,"The Bear and the Paving Stone (熊の敷石, Kuma no Shikiishi)",Gunzō,Co-laureate,Co-laureate,2000
L0649,Akutagawa Prize,Japan,1935,2000,H2,Yūichi Seirai,Japan,Asia,Seisui (聖水),Bungakukai,Co-laureate,Co-laureate,2000
L0651,Akutagawa Prize,Japan,1935,2001,H1,Sōkyū Gen'yū,Japan,Asia,Chūin no Hana (中陰の花),Bungakukai,,Standard,2000
