prize,country,year,session,author,author_country,book_title,publisher,notes
Akutagawa,Japan,1991,H1,Anna Ogino,Japan,Seoimizu (背負い水),Bungakukai,
Akutagawa,Japan,1991,H2,Eiko Matsumura,Japan,Shikō Seisho Apatōn (至高聖所 アバトーン),Kaien [ja],
Akutagawa,Japan,1992,H1,Tomomi Fujiwara,Japan,Untenshi (運転士),Gunzō,
Akutagawa,Japan,1992,H2,Yōko Tawada,Japan,"The Bridegroom was a Dog (犬婿入り, Inu mukoiri)",Gunzō,
Akutagawa,Japan,1993,H1,Haruhiko Yoshimeki,Japan,Sekiryō Kōya (寂寥郊野),Gunzō,
Akutagawa,Japan,1993,H2,Hikaru Okuizumi,Japan,"The Stones Cry Out (石の来歴, Ishi no Raireki)",Bungakukai,
Akutagawa,Japan,1994,H1,Mitsuhiro Muroi,Japan,Odorudeku (おどるでく),Gunzō,
Akutagawa,Japan,1994,H1,Yoriko Shōno,Japan,Taimu Surippu Konbināto (タイムスリップ・コンビナート),Bungakukai,
Akutagawa,Japan,1994,H2,,Japan,,,No prize awarded
Akutagawa,Japan,1995,H1,Kazushi Hosaka,Japan,Kono Hito no Iki (この人の閾),Shinchō,
Akutagawa,Japan,1995,H2,Eiki Matayoshi,Japan,Buta no Mukui (豚の報い),Bungakukai,
Akutagawa,Japan,1996,H1,Hiromi Kawakami,Japan,"Record of a Night Too Brief (蛇を踏む, Hebi o Fumu)",Bungakukai,
Akutagawa,Japan,1996,H2,Hitonari Tsuji,Japan,Kaikyō no Hikari (海峡の光),Shinchō,
Akutagawa,Japan,1996,H2,Yū Miri,Japan,Kazoku Shinema (家族シネマ),Gunzō,
Akutagawa,Japan,1997,H1,Shun Medoruma,Japan,"Droplets (水滴, Suiteki)",Bungakukai,
Akutagawa,Japan,1997,H2,,Japan,,,No prize awarded
Akutagawa,Japan,1998,H1,Mangetsu Hanamura,Japan,Gerumaniamu no Yoru (ゲルマニウムの夜),Bungakukai,
Akutagawa,Japan,1998,H1,Shū Fujisawa,Japan,Buenosu Airesu Gozen Reiji (ブエノスアイレス午前零時),Bungei,
Akutagawa,Japan,1998,H2,Keiichirō Hirano,Japan,"Eclipse (日蝕, Nisshoku)",Shinchō,
Akutagawa,Japan,1999,H1,,Japan,,,No prize awarded
