prize,country,year,session,author,author_country,book_title,publisher,notes
Naoki,Japan,1985,H1,Yōko Yamaguchi,Japan,"Enka no Mushi (演歌の虫; lit. Enka Insects), Rōbai (老梅; lit. Old Plum)",,
Naoki,Japan,1985,H2,Seigo Morita,Japan,"Uogashi Monogatari (魚河岸ものがたり; lit. Fish Market Story) Saishuu-bin ni Maniaeba (最終便に間に合えば; lit. If I'm in Time for the Last Trip), Kyoto Made (京都まで; lit. Until Kyōto)",,Co-laureate
Naoki,Japan,1985,H2,Mariko Hayashi,Japan,"Uogashi Monogatari (魚河岸ものがたり; lit. Fish Market Story) Saishuu-bin ni Maniaeba (最終便に間に合えば; lit. If I'm in Time for the Last Trip), Kyoto Made (京都まで; lit. Until Kyōto)",,Co-laureate
Naoki,Japan,1986,H1,Hiroko Minagawa,Japan,Koi Kurenai (恋紅; lit. Crimson Love),,
Naoki,Japan,1986,H2,Gō Ōsaka,Japan,"The Red Star of Cadiz (カディスの赤い星, Kadisu no Akai Hoshi) Tooi Amerika (遠いアメリカ; lit. Far Off America)",,Co-laureate
Naoki,Japan,1986,H2,Shinpei Tokiwa,Japan,"The Red Star of Cadiz (カディスの赤い星, Kadisu no Akai Hoshi) Tooi Amerika (遠いアメリカ; lit. Far Off America)",,Co-laureate
Naoki,Japan,1987,H1,Amy Yamada,Japan,Sōru Myūjikku Rabāzu Onrī (ソウル・ミュージック・ラバーズ・オンリー; lit. Soul Music Lovers Only) Kairōden (海狼伝; lit. Legend of the Sea Wolf),,Co-laureate
Naoki,Japan,1987,H1,Ichirō Shiraishi,Japan,Sōru Myūjikku Rabāzu Onrī (ソウル・ミュージック・ラバーズ・オンリー; lit. Soul Music Lovers Only) Kairōden (海狼伝; lit. Legend of the Sea Wolf),,Co-laureate
Naoki,Japan,1987,H2,Makio Abe,Japan,Sorezore no Tsuigakushō (それぞれの終楽章; lit. The End of Each Musical Movement),,
Naoki,Japan,1988,H1,Tamio Kageyama,Japan,"Tōi Umi kara Kita Coo (遠い海から来たCOO; lit. From a Distant Ocean Came Coo) Kooreru Hitomi (凍れる瞳; lit. An Eye Freezing Over), Hashima no Onna (端島の女; lit. The Hashima Woman)",,Co-laureate
Naoki,Japan,1988,H1,Masaaki Nishiki,Japan,"Tōi Umi kara Kita Coo (遠い海から来たCOO; lit. From a Distant Ocean Came Coo) Kooreru Hitomi (凍れる瞳; lit. An Eye Freezing Over), Hashima no Onna (端島の女; lit. The Hashima Woman)",,Co-laureate
Naoki,Japan,1988,H2,Akiko Sugimoto,Japan,Tōkyō Shin Ōhashi Uchūzu (東京新大橋雨中図; lit. Tokyo New Big Bridge Path Plan) Urete Yuku Natsu (熟れてゆく夏; lit. Ripening Summer),,Co-laureate
Naoki,Japan,1988,H2,Shizuko Tōdō,Japan,Tōkyō Shin Ōhashi Uchūzu (東京新大橋雨中図; lit. Tokyo New Big Bridge Path Plan) Urete Yuku Natsu (熟れてゆく夏; lit. Ripening Summer),,Co-laureate
